Tamaño de Datos, Estructura, Insercion, Complejidad Insercion, Busqueda, Complejidad Busqueda, Eliminacion, Complejidad Eliminacion, Actualizacion, Complejidad Actualizacion
100, Pila,0.0000,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
100, Cola,0.0000,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
100, Lista,0.0000,O(1),0.0000,O(n),0.0000,O(n),0.0000,O(n)
100, Arbol,0.0000,O(log n),0.0000,O(log n),0.0000,O(log n),0.0000,O(log n)
1000, Pila,0.0000,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
1000, Cola,0.0000,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
1000, Lista,0.0000,O(1),0.0000,O(n),0.0000,O(n),0.0000,O(n)
1000, Arbol,0.0000,O(log n),0.0000,O(log n),0.0000,O(log n),0.0000,O(log n)
10000, Pila,0.0000,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
10000, Cola,0.0000,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
10000, Lista,0.0000,O(1),0.0000,O(n),0.0000,O(n),0.0000,O(n)
10000, Arbol,0.0000,O(log n),0.0000,O(log n),0.0000,O(log n),0.0000,O(log n)
100000, Pila,4.3380,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
100000, Cola,9.5410,O(1),0.0000,O(n),0.0000,O(1),0.0000,O(1)
100000, Lista,14.5540,O(1),0.0000,O(n),2.8030,O(n),0.0000,O(n)
100000, Arbol,34.5570,O(log n),0.0000,O(log n),32.2160,O(log n),0.0000,O(log n)
1000000, Pila,20.9110,O(1),16.4420,O(n),16.0470,O(1),0.0000,O(1)
1000000, Cola,22.0160,O(1),0.0000,O(n),10.2720,O(1),0.0000,O(1)
1000000, Lista,87.4730,O(1),15.6420,O(n),46.7900,O(n),0.0000,O(n)
1000000, Arbol,607.4920,O(log n),0.0000,O(log n),463.2490,O(log n),0.0000,O(log n)
